iso_country_code,country,world_region,survey_source ,survey_year,subnational_region,mpi_country,mpi_region,hr_poor,deprivation_intensity,poverty_vulnerability,hr_severe_poverty,population_country_survey_year,population_country_2020,population _country_2021,Population 2021,population _region_2021,population_mpi_poor,n_indicators,missing_indicators
COG,Congo,Sub-Saharan Africa,MICS,2014-2015,Brazzaville,0.112,0.024,5.84,41.38,18.81,1.53,"5,064","5,702","5,836",38.03,"2,220",130,10,
COG,Congo,Sub-Saharan Africa,MICS,2014-2015,Cuvette,0.112,0.161,37.51,42.92,27.3,10.53,"5,064","5,702","5,836",3.58,209,78,10,
COG,Congo,Sub-Saharan Africa,MICS,2014-2015,Cuvette-Ouest,0.112,0.278,59.91,46.36,28.87,26.32,"5,064","5,702","5,836",1.5,88,52,10,
COG,Congo,Sub-Saharan Africa,MICS,2014-2015,Kouilou,0.112,0.273,57.74,47.21,26.52,23.18,"5,064","5,702","5,836",2.34,137,79,10,
COG,Congo,Sub-Saharan Africa,MICS,2014-2015,Lékoumou,0.112,0.288,56.14,51.31,27.17,29.72,"5,064","5,702","5,836",2.03,119,67,10,
COG,Congo,Sub-Saharan Africa,MICS,2014-2015,Likouala,0.112,0.297,60.79,48.85,24.69,29.8,"5,064","5,702","5,836",4.07,237,144,10,
COG,Congo,Sub-Saharan Africa,MICS,2014-2015,Niari,0.112,0.195,40.91,47.67,24.22,17.78,"5,064","5,702","5,836",5.06,295,121,10,
COG,Congo,Sub-Saharan Africa,MICS,2014-2015,Plateaux,0.112,0.256,56.72,45.22,29.31,18.23,"5,064","5,702","5,836",3.6,210,119,10,
COG,Congo,Sub-Saharan Africa,MICS,2014-2015,Pointe-Noire,0.112,0.044,10.87,40.81,16.53,2.09,"5,064","5,702","5,836",24.25,"1,415",154,10,
COG,Congo,Sub-Saharan Africa,MICS,2014-2015,Pool,0.112,0.277,58.95,46.98,33.04,26.3,"5,064","5,702","5,836",6.83,399,235,10,
COG,Congo,Sub-Saharan Africa,MICS,2014-2015,Sangha,0.112,0.247,49.84,49.46,21.75,23.95,"5,064","5,702","5,836",1.96,115,57,10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Bas-Uélé,0.331,0.349,70.25,49.72,26.6,36.38,"87,087","92,853","95,894",1.31,"1,258",884,10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Équateur,0.331,0.348,74.78,46.55,19.95,34,"87,087","92,853","95,894",2.39,"2,289","1,712",10,
